variable,min,max
idea_gsod_v_21_05,0,1
wjp_rol_2,0,1
wjp_rol_6_6,0,1
bs_bti_q15_1,0,10
bs_bti_q15_2,0,10
bs_bti_q8_2,0,10
bs_bti_q3_2,0,10
ibp_obs_obi,0,100
wb_gtmi_dcei,0,1
wjp_rol_2_2,0,1
wjp_rol_3_1,0,1
wjp_rol_3_2,0,1
wjp_rol_3_4,0,1
wjp_rol_4_3,0,1
wjp_rol_6_2,0,1
wjp_rol_7_1,0,1
wjp_rol_7_5,0,1
wjp_rol_7_6,0,1
wjp_rol_7_7,0,1
wjp_rol_8_1,0,1
wjp_rol_8_2,0,1
wjp_rol_8_4,0,1
vdem_core_v2juhcind,-4,4
vdem_core_v2juaccnt,-4,4
vdem_core_v2stcritrecadm,-4,4
vdem_core_v2clrspct,-4,4
vdem_core_v2clacjstm,-4,4
vdem_core_v2clacjstw,-4,4
vdem_core_v2peasjsoecon,-4,4
vdem_core_v2peasjpol,-4,4
vdem_core_v2x_pubcorr,0,1
vdem_core_v2x_execorr,0,1
vdem_core_v2lgcrrpt,-4,4
